time,frame,face_detected,confidence,emotion,gaze,alert_level,reason
14:00:40,0,No face,0.0,neutral,OUT OF FRAME,CLEAR,
14:00:40,1,No face,0.0,neutral,OUT OF FRAME,CLEAR,
14:00:40,2,No face,0.0,neutral,OUT OF FRAME,CLEAR,
14:00:40,3,No face,0.0,neutral,OUT OF FRAME,CLEAR,
14:00:40,4,No face,0.0,neutral,CENTER,CLEAR,
14:00:40,5,Unknown,88.8,neutral,CENTER,HIGH,wrong_face
14:00:40,6,No face,88.8,neutral,OUT OF FRAME,CLEAR,
14:00:40,7,No face,88.8,neutral,OUT OF FRAME,CLEAR,
14:00:41,8,No face,88.8,neutral,OUT OF FRAME,CLEAR,
14:00:41,9,No face,88.8,neutral,OUT OF FRAME,CLEAR,
14:00:41,10,No face,88.8,neutral,OUT OF FRAME,CLEAR,
14:00:41,11,No face,88.8,neutral,OUT OF FRAME,CLEAR,
14:00:41,12,No face,88.8,neutral,OUT OF FRAME,CLEAR,
14:00:41,13,No face,88.8,neutral,OUT OF FRAME,CLEAR,
14:00:41,14,No face,88.8,neutral,OUT OF FRAME,CLEAR,
14:00:41,15,No face,88.8,neutral,OUT OF FRAME,CLEAR,
14:00:41,16,No face,88.8,neutral,CENTER,CLEAR,
14:00:41,17,No face,88.8,neutral,OUT OF FRAME,CLEAR,
14:00:41,18,No face,88.8,neutral,OUT OF FRAME,CLEAR,
14:00:41,19,No face,88.8,neutral,OUT OF FRAME,CLEAR,
14:00:41,20,No face,88.8,neutral,OUT OF FRAME,CLEAR,
14:00:41,21,No face,88.8,neutral,OUT OF FRAME,CLEAR,
14:00:41,22,No face,88.8,neutral,OUT OF FRAME,CLEAR,
14:00:41,23,No face,88.8,neutral,OUT OF FRAME,CLEAR,
14:00:41,24,No face,88.8,neutral,OUT OF FRAME,CLEAR,
14:00:41,25,No face,88.8,neutral,OUT OF FRAME,CLEAR,
14:00:41,26,No face,88.8,neutral,OUT OF FRAME,CLEAR,
14:00:41,27,No face,88.8,neutral,OUT OF FRAME,CLEAR,
14:00:41,28,No face,88.8,neutral,OUT OF FRAME,CLEAR,
14:00:42,29,No face,88.8,neutral,OUT OF FRAME,CLEAR,
14:00:42,30,Unknown,80.1,neutral,CENTER,HIGH,wrong_face
14:00:42,31,Unknown,80.1,neutral,CENTER,HIGH,wrong_face
14:00:42,32,Unknown,80.1,neutral,CENTER,HIGH,wrong_face
14:00:42,33,Unknown,80.1,neutral,CENTER,HIGH,wrong_face
14:00:42,34,Unknown,80.1,neutral,CENTER,HIGH,wrong_face
14:00:42,35,Unknown,74.5,neutral,CENTER,HIGH,wrong_face
14:00:42,36,Unknown,74.5,neutral,CENTER,HIGH,wrong_face
14:00:42,37,No face,74.5,neutral,OUT OF FRAME,CLEAR,
14:00:42,38,No face,74.5,neutral,CENTER,CLEAR,
14:00:42,39,No face,74.5,neutral,OUT OF FRAME,CLEAR,
14:00:42,40,No face,74.5,neutral,OUT OF FRAME,CLEAR,
14:00:42,41,No face,74.5,neutral,OUT OF FRAME,CLEAR,
14:00:42,42,No face,74.5,neutral,CENTER,CLEAR,
